sample_id,se1_date,village,zone,tapstand_code,se1_time,se1_frc,se1_trc,se1_turb,se1_airtemp,se1_wattemp,se1_cond,se1_ph,se1_orp,resp_consent,sa_tap,sa_cont,sa_cover,sa_clean,sa_opacity,sa_colour,se2_time,se2_frc,se2_trc,se2_turb,se2_wattemp,se2_cond,se2_ph,se2_orp,hh_steps,hh_minutes,se3_time,se3_frc,se3_trc,se3_turb,se3_wattemp,se3_cond,se3_ph,se3_orp,se4_time,se4_date,timelapse4,se4_frc,se4_trc,se4_turb,se4_airtemp,se4_wattemp,se4_cond,se4_ph,se4_orp,se5_time,se5_date,timelapse5,se5_frc,se5_trc,se5_turb,se5_airtemp,se5_wattemp,se5_cond,se5_ph,se5_orp,sb_watertransfer,sb_watermix,sb_waterused,sb_waterleft,sb_drawing,sb_cont,sb_cover,sb_clean,sb_opacity,sb_colour,sb_inout,sb_sunshade
71,7/9/15,B,Q6V1,W21,7/9/15 10:07,0.58,0.60,0.01,22.2,19.0,88.3,6.59,736,Y,T,R,N,U,Y,Y,7/9/15 10:13,0.57,0.57,0.01,19.2,125.4,6.70,751,50,0.8,7/9/15 10:25,0.55,0.58,0.01,20.0,94.5,6.84,732,7/9/15 14:40,7/9/15,4:33,0.08,0.20,0.61,16.2,16.3,84.1,7.23,510,7/10/15 8:27,7/10/15,22:20:00,0.08,0.20,0.61,16.2,16.3,84.1,7.23,510,Y,N,Y,3%,P,R,N,U,Y,White,I,N
72,7/9/15,B,Q6V1,W21,7/9/15 10:41,0.64,0.65,0.01,20.8,19.7,136.6,6.68,746,Y,T,R,N,D,Y,Y,7/9/15 10:50,0.55,0.67,0.23,19.4,170.4,6.54,772,50,1.0,7/9/15 10:55,0.66,0.72,0.01,19.9,156.9,6.68,746,7/9/15 14:29,7/9/15,3:48,0.59,0.61,0.01,23.0,19.6,80.0,6.96,727,7/10/15 8:17,7/10/15,21:36:00,0.12,0.19,0.47,16.1,16.9,81.3,7.15,566,Y,N,Y,25%,P,R,Y,U,Y,White,I,N
73,7/10/15,A,Q7V3,W13,7/10/15 9:22,0.78,0.83,0.28,21.8,20.2,96.1,6.06,733,Y,T,Collapsible,N,U,N,White,7/10/15 9:34,0.80,0.84,0.27,21.3,111.0,6.19,735,75,0.5,7/10/15 9:40,0.70,0.78,0.80,20.4,89.4,6.91,744,7/10/15 13:48,7/10/15,4:26,0.05,0.09,2.29,23.6,21.1,120.3,6.74,340,7/10/15 15:00,7/10/15,5:38:00,0.09,0.09,2.29,23.6,21.1,120.3,6.74,340,Y,N,Y,1%,P,Oil Container,N,U,Y,Y,I,N
74,7/10/15,A,Q7V3,W13,7/10/15 9:22,0.73,0.80,0.22,28.0,20.7,103.0,6.84,749,Y,T,R,N,U,Y,Y,7/10/15 10:07,0.76,0.83,0.21,20.8,83.0,6.89,750,16,0.2,7/10/15 10:13,0.71,0.80,0.52,20.9,91.9,6.90,742,7/10/15 14:19,7/10/15,4:57,0.64,0.72,0.63,22.0,23.9,91.4,6.93,754,7/10/15 14:37,7/10/15,5:15:00,0.65,0.69,0.02,22.1,23.5,117.8,6.87,746,N,N,Y,70%,P,R,N,U,Y,Y,I,N
75,7/10/15,A,Q7V3,W13,7/10/15 10:26,0.76,0.78,0.01,21.5,20.3,99.4,6.73,762,Y,T,Collapsible,N,U,N,White,7/10/15 10:43,0.66,0.73,0.01,21.0,82.2,6.82,757,20,0.3,7/10/15 10:48,0.47,0.66,0.27,21.9,83.6,6.79,740,7/10/15 14:13,7/10/15,3:47,0.52,0.55,0.01,24.6,20.5,106.6,6.84,736,7/10/15 14:42,7/10/15,4:16:00,0.46,0.53,0.36,21.1,19.3,83.1,6.91,742,N,N,Y,90%,P,Collapsible,N,U,N,White,I,N
76,7/10/15,A,Q7V3,W13,7/10/15 10:52,0.72,0.77,0.01,21.4,20.4,81.9,6.67,769,Y,T,R,N,U,Y,Y,7/10/15 10:58,0.80,0.83,0.01,20.1,79.7,6.73,758,74,0.8,7/10/15 11:04,0.66,0.80,0.12,22.9,82.8,6.93,759,7/10/15 14:00,7/10/15,3:08,0.70,0.72,0.27,24.7,27.7,186.4,6.93,737,7/10/15 14:45,7/10/15,3:53:00,0.22,0.27,0.13,24.7,25.6,122.8,6.86,738,N,N,Y,20%,P,R,N,U,Y,Y,I,N
77,7/10/15,A,Q7V3,W13,7/10/15 9:22,0.76,0.80,0.42,22.4,20.7,97.6,6.63,727,Y,T,R,N,D,Y,Y,7/10/15 9:29,0.80,0.85,0.68,20.7,123.4,6.77,736,25,0.0,7/10/15 9:35,0.74,0.79,0.43,20.4,97.8,6.81,736,7/10/15 14:00,7/10/15,4:38,0.56,0.60,1.35,19.6,20.3,114.9,6.94,740,7/10/15 14:26,7/10/15,5:04:00,0.55,0.56,0.44,20.6,20.5,94.5,7.11,730,N,N,Y,5%,P,R,N,U,Y,Y,I,N
78,7/10/15,A,Q7V3,W13,7/10/15 9:50,0.85,0.88,0.48,19.8,20.6,99.6,6.75,751,Y,T,R,Y,U,Y,Y,7/10/15 10:07,0.72,0.75,0.19,20.2,95.8,6.84,745,70,1.0,7/10/15 10:29,0.76,0.81,0.60,21.2,96.2,6.84,740,7/10/15 14:13,7/10/15,4:23,0.66,0.72,0.48,20.2,19.5,95.3,6.72,768,7/10/15 14:30,7/10/15,4:40:00,0.60,0.62,0.36,19.1,20.3,94.8,6.83,751,Y,N,Y,72%,P,R,N,U,Y,Y,I,N
79,7/10/15,A,Q7V3,W13,7/10/15 10:15,0.84,0.88,0.39,20.6,20.1,93.2,6.76,761,Y,T,R,N,U,Y,Y,7/10/15 10:24,0.78,0.83,0.01,20.1,90.4,6.71,760,70,1.0,7/10/15 10:40,0.78,0.86,0.02,29.0,94.7,6.77,770,7/10/15 14:17,7/10/15,4:02,0.67,0.72,0.04,19.3,19.7,100.4,7.07,735,7/10/15 14:45,7/10/15,4:30:00,0.60,0.63,5.03,19.1,20.0,91.1,7.03,702,Y,N,Y,2%,P,R,N,U,Y,Y,I,N
80,7/10/15,A,Q7V3,W13,7/10/15 10:49,0.80,0.84,0.01,20.3,20.9,98.0,6.58,767,Y,T,R,Y,U,Y,Y,7/10/15 10:58,0.73,0.85,0.70,20.4,97.3,6.71,757,35,1.0,7/10/15 11:15,0.77,0.79,0.01,21.7,111.6,6.71,763,7/10/15 14:24,7/10/15,3:35,0.63,0.64,0.44,21.0,20.0,26.5,6.92,410,7/10/15 15:00,7/10/15,4:11:00,0.59,0.61,0.24,21.7,20.7,92.2,6.78,720,N,N,Y,85%,P,R,Y,U,Y,Y,I,N
