sample_id,se1_date,village,zone,tapstand_code,se1_time,se1_frc,se1_trc,se1_turb,se1_airtemp,se1_wattemp,se1_cond,se1_ph,se1_orp,resp_consent,sa_cont,sa_cover,sa_clean,sa_opacity,sa_colour,se2_time,se2_frc,se2_trc,se2_turb,se2_wattemp,se2_cond,se2_ph,se2_orp,hh_steps,hh_minutes,se3_time,se3_frc,se3_trc,se3_turb,se3_wattemp,se3_cond,se3_ph,se3_orp,se4_time,se4_date,timelapse4,se4_frc,se4_trc,se4_turb,se4_airtemp,se4_wattemp,se4_cond,se4_ph,se4_orp,sb_watertransfer,sb_watermix,sb_waterused,sb_waterleft,sb_drawing,sb_cont,sb_cover,sb_clean,sb_opacity,sb_colour,sb_inout,sb_sunshade,,,,,,,,,,,
27,7/17/14,3,12,5,9:15,0.71,0.74,0.02,22.9,25.6,680,7.28,673,1,2,1,2,1,1,9:30,0.56,0.57,1.92,26.1,686,7.25,642,222,2.0,9:40,0.63,0.61,3.20,27.0,688,7.25,642,15:35,7/17/14,6:20,0.27,0.32,3.38,39.2,29.3,703,7.33,488,0,0,0,1.00,1,2,1,2,1,1,,,,,,,,,,,,,
28,7/17/14,3,12,5,9:55,0.67,0.70,1.97,26.5,26.7,660,7.50,636,1,1,1,1,1,1,10:05,0.86,0.88,2.22,26.6,664,7.51,633,110,2.0,10:15,0.75,0.75,3.03,26.2,662,7.59,660,15:55,7/17/14,6:00,0.63,0.65,2.12,30.5,29.8,628,7.63,568,0,0,0,1.00,1,1,1,1,1,1,,,,,,,,,,,,,
29,7/17/14,3,12,5,10:10,0.71,0.76,1.40,25.3,25.9,690,7.30,679,1,2,1,1,1,1,10:20,0.73,0.74,4.58,26.5,687,7.87,673,156,2.0,10:35,0.65,0.66,1.47,27.5,680,7.47,617,15:55,7/17/14,5:45,0.32,0.41,2.06,30.6,29.6,690,7.28,522,0,0,0,1.00,1,2,1,1,1,1,,,,,,,,,,,,,
30,7/17/14,3,12,5,10:30,0.82,0.82,2.46,28.5,27.4,661,7.64,635,1,2,1,2,1,1,10:40,0.82,0.84,2.08,27.2,663,7.65,654,155,2.0,10:50,0.74,0.75,3.04,26.9,660,7.55,645,15:45,7/17/14,5:15,0.59,0.63,2.86,29.8,30.2,666,7.59,483,0,0,0,1.00,1,2,1,2,1,1,,,,,,,,,,,,,
31,7/20/14,3,8,4,7/20/14 9:45,1.24,1.28,3.07,28.9,26.6,454,7.60,578,1,2,1,2,1,1,7/20/14 10:05,1.28,1.30,2.01,26.2,461,7.68,597,220,3.0,7/20/14 10:15,1.08,1.08,2.58,27.0,460,7.64,622,,7/21/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,7/20/14,3,8,4,7/20/14 9:45,1.46,1.63,2.50,24.4,25.5,470,7.26,636,1,2,1,1,1,1,7/20/14 10:12,1.38,1.40,4.59,26.1,491,7.45,679,135,3.0,7/20/14 10:15,1.02,1.00,2.30,26.8,498,7.48,713,7/21/14 11:35,7/21/14,25:50:00,0.90,0.98,0.88,28.9,25.5,470,6.46,723,0,0,0,1.00,1,2,1,2,1,1,,,,,,,,,,,,,
33,7/20/14,3,8,4,7/20/14 10:30,1.32,1.34,2.08,,26.8,464,7.49,655,1,2,0,3,1,1,7/20/14 10:55,1.32,1.32,2.96,26.8,456,7.63,657,150,2.0,7/20/14 11:05,1.22,1.22,2.98,26.3,455,7.64,664,7/21/14 11:20,7/21/14,24:50:00,0.68,0.63,2.63,27.6,25.8,464,7.37,308,0,0,0,1.00,1,2,0,3,1,1,,,,,,,,,,,,,
34,7/20/14,3,8,4,7/20/14 10:30,1.28,1.26,,27.8,26.0,469,7.18,747,1,2,1,2,1,1,7/20/14 10:51,1.16,1.20,,26.0,472,7.00,749,128,2.0,7/20/14 11:04,1.20,1.18,,26.1,469,7.36,738,7/21/14 11:55,7/21/14,25:25:00,1.38,1.34,0.73,26.8,24.7,446,7.04,734,0,0,1,,1,2,1,2,1,1,,,,,,,,,,,,,
35,7/21/14,3,15,3,7/21/14 10:05,1.08,1.14,2.52,25.7,26.2,518,7.26,668,1,2,1,2,1,1,7/21/14 10:20,1.38,1.42,3.99,26.5,520,7.33,667,270,2.0,7/21/14 10:30,1.12,1.10,2.98,27.3,590,7.32,679,,7/22/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,7/21/14,3,15,3,7/21/14 9:45,0.97,1.12,1.88,26.5,27.1,514,7.83,584,1,4,1,1,1,1,7/21/14 10:05,1.04,1.12,1.30,27.1,526,7.88,587,140,2.0,7/21/14 10:15,1.04,0.90,1.54,26.1,536,7.93,655,7/22/14 12:05,7/22/14,26:20:00,0.73,0.80,1.61,28.2,24.7,527,6.85,610,0,0,0,1.00,1,4,1,1,1,1,,,,,,,,,,,,,
